ACLED_fatalities_total,ACLED_fatalities_Violence_against_civilians,ACLED_events_total,CIESIN_GPWv411_GPW_Population_Density_population_density_max,spam2010v2r0_global_prod_P_RICE_I_min,ECMWF_ERA5_LAND_MONTHLY_soil_temperature_level_1_sum_sum,NASA_GPM_L3_IMERG_MONTHLY_V06_precipitationQualityIndex_max_max,NASA_FLDAS_NOAH01_C_GL_M_V001_Qle_tavg_max_std
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 2.0]","(118.193, 138.859]","(0.41, 3.025]","(76184.635, 83357.881]","(21.47, 22.348]","(11.431, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 2.0]","(220.961, 261.309]","(-0.001, 0.41]","(145810.844, 165004.096]","(23.892, 25.711]","(12.305, 13.749]"
"(9.8, 12.45]","(-0.001, 1.0]","(6.0, 8.0]","(113.676, 118.193]","(-0.001, 0.41]","(241049.859, 354783.815]","(15.494, 16.137]","(11.431, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(20.15, 25.8]","(220.961, 261.309]","(-0.001, 0.41]","(94365.591, 100759.612]","(30.338, 36.463]","(13.749, 16.764]"
"(22.75, 28.0]","(-0.001, 1.0]","(48.5, 60.8]","(1727.656, 4743.648]","(-0.001, 0.41]","(145810.844, 165004.096]","(21.47, 22.348]","(9.111, 9.804]"
"(4.85, 5.0]","(1.0, 2.0]","(15.0, 20.15]","(261.309, 261.801]","(20.715, 55.7]","(100759.612, 105583.164]","(22.348, 23.892]","(8.039, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(8.0, 11.0]","(184.402, 210.568]","(-0.001, 0.41]","(100759.612, 105583.164]","(15.494, 16.137]","(8.039, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(138.859, 184.402]","(89.565, 257.0]","(62267.491, 69293.196]","(20.85, 21.47]","(11.431, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(220.961, 261.309]","(-0.001, 0.41]","(112260.095, 123581.622]","(30.338, 36.463]","(13.749, 16.764]"
"(-0.001, 1.0]","(-0.001, 1.0]","(8.0, 11.0]","(4.67, 44.675]","(-0.001, 0.41]","(165004.096, 185938.102]","(8.213000000000001, 13.854]","(9.804, 10.241]"
"(22.75, 28.0]","(8.0, 18.7]","(60.8, 110.1]","(647.374, 1727.656]","(0.41, 3.025]","(123581.622, 130957.878]","(25.711, 30.338]","(10.657, 11.431]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 2.0]","(606.352, 647.374]","(-0.001, 0.41]","(100759.612, 105583.164]","(19.488, 19.77]","(8.699, 9.111]"
"(3.0, 4.85]","(1.0, 2.0]","(6.0, 8.0]","(1727.656, 4743.648]","(3.025, 10.6]","(165004.096, 185938.102]","(20.85, 21.47]","(8.039, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 5.0]","(509.083, 606.352]","(-0.001, 0.41]","(87327.282, 94365.591]","(13.854, 15.494]","(8.039, 8.699]"
"(3.0, 4.85]","(-0.001, 1.0]","(25.8, 29.45]","(464.562, 501.12]","(10.6, 20.715]","(62267.491, 69293.196]","(20.3, 20.85]","(9.804, 10.241]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(184.402, 210.568]","(-0.001, 0.41]","(62267.491, 69293.196]","(13.854, 15.494]","(1.5970000000000002, 8.039]"
"(5.0, 7.0]","(1.0, 2.0]","(25.8, 29.45]","(1727.656, 4743.648]","(89.565, 257.0]","(83357.881, 87327.282]","(18.42, 18.969]","(8.699, 9.111]"
"(28.0, 38.0]","(-0.001, 1.0]","(60.8, 110.1]","(606.352, 647.374]","(55.7, 89.565]","(62267.491, 69293.196]","(18.969, 19.488]","(9.804, 10.241]"
"(-0.001, 1.0]","(-0.001, 1.0]","(29.45, 37.1]","(261.309, 261.801]","(-0.001, 0.41]","(130957.878, 145810.844]","(25.711, 30.338]","(8.039, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 8.0]","(1727.656, 4743.648]","(89.565, 257.0]","(7035.782999999999, 36285.002]","(20.3, 20.85]","(8.039, 8.699]"
"(2.0, 3.0]","(-0.001, 1.0]","(11.0, 12.0]","(4743.648, 8843.862]","(89.565, 257.0]","(62267.491, 69293.196]","(19.488, 19.77]","(10.241, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 2.0]","(4.67, 44.675]","(-0.001, 0.41]","(354783.815, 3539315.621]","(8.213000000000001, 13.854]","(11.431, 12.305]"
"(38.0, 78.0]","(8.0, 18.7]","(155.7, 290.7]","(4743.648, 8843.862]","(3.025, 10.6]","(7035.782999999999, 36285.002]","(17.919, 18.42]","(9.111, 9.804]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 5.0]","(1727.656, 4743.648]","(20.715, 55.7]","(76184.635, 83357.881]","(19.77, 20.3]","(1.5970000000000002, 8.039]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(509.083, 606.352]","(55.7, 89.565]","(87327.282, 94365.591]","(18.42, 18.969]","(10.657, 11.431]"
"(-0.001, 1.0]","(-0.001, 1.0]","(5.0, 6.0]","(261.801, 464.562]","(20.715, 55.7]","(130957.878, 145810.844]","(20.3, 20.85]","(10.241, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(464.562, 501.12]","(89.565, 257.0]","(7035.782999999999, 36285.002]","(20.3, 20.85]","(9.804, 10.241]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 5.0]","(4743.648, 8843.862]","(10.6, 20.715]","(36285.002, 50636.652]","(18.42, 18.969]","(10.241, 10.657]"
"(38.0, 78.0]","(18.7, 76.0]","(290.7, 1854.0]","(4743.648, 8843.862]","(-0.001, 0.41]","(7035.782999999999, 36285.002]","(16.966, 17.465]","(1.5970000000000002, 8.039]"
"(28.0, 38.0]","(6.0, 8.0]","(48.5, 60.8]","(261.309, 261.801]","(-0.001, 0.41]","(123581.622, 130957.878]","(20.85, 21.47]","(16.764, 22.673]"
"(1.0, 2.0]","(-0.001, 1.0]","(3.0, 5.0]","(509.083, 606.352]","(20.715, 55.7]","(123581.622, 130957.878]","(18.42, 18.969]","(10.241, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(15.0, 20.15]","(647.374, 1727.656]","(89.565, 257.0]","(83357.881, 87327.282]","(17.576, 17.919]","(1.5970000000000002, 8.039]"
"(7.0, 9.8]","(8.0, 18.7]","(3.0, 5.0]","(216.225, 220.961]","(10.6, 20.715]","(145810.844, 165004.096]","(23.892, 25.711]","(12.305, 13.749]"
"(38.0, 78.0]","(18.7, 76.0]","(290.7, 1854.0]","(184.402, 210.568]","(-0.001, 0.41]","(241049.859, 354783.815]","(16.966, 17.465]","(16.764, 22.673]"
"(78.0, 140.05]","(18.7, 76.0]","(155.7, 290.7]","(509.083, 606.352]","(-0.001, 0.41]","(241049.859, 354783.815]","(15.494, 16.137]","(34.882, 39.232]"
"(1.0, 2.0]","(-0.001, 1.0]","(3.0, 5.0]","(464.562, 501.12]","(10.6, 20.715]","(50636.652, 62267.491]","(16.137, 16.423]","(27.32, 30.033]"
"(5.0, 7.0]","(-0.001, 1.0]","(6.0, 8.0]","(98.654, 113.676]","(-0.001, 0.41]","(50636.652, 62267.491]","(18.969, 19.488]","(13.749, 16.764]"
"(-0.001, 1.0]","(-0.001, 1.0]","(5.0, 6.0]","(216.225, 220.961]","(3.025, 10.6]","(112260.095, 123581.622]","(20.85, 21.47]","(9.804, 10.241]"
"(-0.001, 1.0]","(-0.001, 1.0]","(5.0, 6.0]","(647.374, 1727.656]","(-0.001, 0.41]","(69293.196, 76184.635]","(23.892, 25.711]","(10.657, 11.431]"
"(1.0, 2.0]","(-0.001, 1.0]","(11.0, 12.0]","(261.309, 261.801]","(10.6, 20.715]","(123581.622, 130957.878]","(21.47, 22.348]","(9.111, 9.804]"
"(17.1, 22.75]","(-0.001, 1.0]","(15.0, 20.15]","(113.676, 118.193]","(0.41, 3.025]","(354783.815, 3539315.621]","(18.42, 18.969]","(10.657, 11.431]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(4.67, 44.675]","(-0.001, 0.41]","(212520.243, 241049.859]","(8.213000000000001, 13.854]","(10.241, 10.657]"
"(12.45, 17.1]","(-0.001, 1.0]","(8.0, 11.0]","(44.675, 98.654]","(-0.001, 0.41]","(145810.844, 165004.096]","(16.966, 17.465]","(27.32, 30.033]"
"(4.85, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(44.675, 98.654]","(-0.001, 0.41]","(112260.095, 123581.622]","(16.966, 17.465]","(27.32, 30.033]"
"(1.0, 2.0]","(-0.001, 1.0]","(8.0, 11.0]","(647.374, 1727.656]","(89.565, 257.0]","(76184.635, 83357.881]","(17.919, 18.42]","(8.699, 9.111]"
"(78.0, 140.05]","(6.0, 8.0]","(110.1, 155.7]","(509.083, 606.352]","(-0.001, 0.41]","(212520.243, 241049.859]","(16.137, 16.423]","(30.033, 34.882]"
"(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(261.801, 464.562]","(-0.001, 0.41]","(83357.881, 87327.282]","(16.423, 16.966]","(41.425, 43.235]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 2.0]","(184.402, 210.568]","(-0.001, 0.41]","(241049.859, 354783.815]","(15.494, 16.137]","(10.657, 11.431]"
"(78.0, 140.05]","(-0.001, 1.0]","(60.8, 110.1]","(464.562, 501.12]","(-0.001, 0.41]","(185938.102, 212520.243]","(18.969, 19.488]","(22.673, 27.32]"
"(7.0, 9.8]","(3.0, 5.0]","(20.15, 25.8]","(1727.656, 4743.648]","(89.565, 257.0]","(36285.002, 50636.652]","(17.465, 17.576]","(10.657, 11.431]"
"(2.0, 3.0]","(-0.001, 1.0]","(5.0, 6.0]","(4743.648, 8843.862]","(55.7, 89.565]","(76184.635, 83357.881]","(18.42, 18.969]","(9.804, 10.241]"
"(38.0, 78.0]","(1.0, 2.0]","(60.8, 110.1]","(261.801, 464.562]","(-0.001, 0.41]","(165004.096, 185938.102]","(17.576, 17.919]","(22.673, 27.32]"
"(22.75, 28.0]","(1.0, 2.0]","(60.8, 110.1]","(261.801, 464.562]","(-0.001, 0.41]","(241049.859, 354783.815]","(8.213000000000001, 13.854]","(12.305, 13.749]"
"(17.1, 22.75]","(2.0, 3.0]","(29.45, 37.1]","(4.67, 44.675]","(-0.001, 0.41]","(105583.164, 112260.095]","(22.348, 23.892]","(22.673, 27.32]"
"(2.0, 3.0]","(-0.001, 1.0]","(15.0, 20.15]","(216.225, 220.961]","(55.7, 89.565]","(94365.591, 100759.612]","(18.42, 18.969]","(9.111, 9.804]"
"(22.75, 28.0]","(1.0, 2.0]","(29.45, 37.1]","(261.309, 261.801]","(-0.001, 0.41]","(185938.102, 212520.243]","(18.969, 19.488]","(8.699, 9.111]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 8.0]","(216.225, 220.961]","(89.565, 257.0]","(36285.002, 50636.652]","(17.576, 17.919]","(8.039, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(216.225, 220.961]","(-0.001, 0.41]","(354783.815, 3539315.621]","(17.465, 17.576]","(10.241, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(216.225, 220.961]","(89.565, 257.0]","(94365.591, 100759.612]","(17.576, 17.919]","(8.039, 8.699]"
"(28.0, 38.0]","(-0.001, 1.0]","(48.5, 60.8]","(118.193, 138.859]","(-0.001, 0.41]","(185938.102, 212520.243]","(16.423, 16.966]","(30.033, 34.882]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(138.859, 184.402]","(20.715, 55.7]","(105583.164, 112260.095]","(22.348, 23.892]","(11.431, 12.305]"
"(2.0, 3.0]","(1.0, 2.0]","(11.0, 12.0]","(261.801, 464.562]","(-0.001, 0.41]","(165004.096, 185938.102]","(18.969, 19.488]","(9.804, 10.241]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 8.0]","(261.801, 464.562]","(20.715, 55.7]","(100759.612, 105583.164]","(21.47, 22.348]","(10.241, 10.657]"
"(2.0, 3.0]","(-0.001, 1.0]","(25.8, 29.45]","(138.859, 184.402]","(-0.001, 0.41]","(130957.878, 145810.844]","(30.338, 36.463]","(10.657, 11.431]"
"(17.1, 22.75]","(2.0, 3.0]","(290.7, 1854.0]","(501.12, 509.083]","(0.41, 3.025]","(130957.878, 145810.844]","(21.47, 22.348]","(10.241, 10.657]"
"(28.0, 38.0]","(-0.001, 1.0]","(48.5, 60.8]","(44.675, 98.654]","(-0.001, 0.41]","(354783.815, 3539315.621]","(17.576, 17.919]","(16.764, 22.673]"
"(12.45, 17.1]","(3.0, 5.0]","(37.1, 48.5]","(1727.656, 4743.648]","(3.025, 10.6]","(69293.196, 76184.635]","(18.969, 19.488]","(10.241, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(5.0, 6.0]","(220.961, 261.309]","(20.715, 55.7]","(36285.002, 50636.652]","(25.711, 30.338]","(11.431, 12.305]"
"(78.0, 140.05]","(18.7, 76.0]","(155.7, 290.7]","(1727.656, 4743.648]","(-0.001, 0.41]","(83357.881, 87327.282]","(19.77, 20.3]","(11.431, 12.305]"
"(2.0, 3.0]","(-0.001, 1.0]","(3.0, 5.0]","(118.193, 138.859]","(-0.001, 0.41]","(241049.859, 354783.815]","(17.576, 17.919]","(16.764, 22.673]"
"(7.0, 9.8]","(1.0, 2.0]","(20.15, 25.8]","(184.402, 210.568]","(-0.001, 0.41]","(130957.878, 145810.844]","(22.348, 23.892]","(9.804, 10.241]"
"(9.8, 12.45]","(-0.001, 1.0]","(8.0, 11.0]","(98.654, 113.676]","(-0.001, 0.41]","(212520.243, 241049.859]","(13.854, 15.494]","(11.431, 12.305]"
"(5.0, 7.0]","(-0.001, 1.0]","(11.0, 12.0]","(184.402, 210.568]","(20.715, 55.7]","(36285.002, 50636.652]","(21.47, 22.348]","(16.764, 22.673]"
"(12.45, 17.1]","(-0.001, 1.0]","(15.0, 20.15]","(4.67, 44.675]","(10.6, 20.715]","(354783.815, 3539315.621]","(8.213000000000001, 13.854]","(10.657, 11.431]"
"(7.0, 9.8]","(-0.001, 1.0]","(48.5, 60.8]","(464.562, 501.12]","(3.025, 10.6]","(145810.844, 165004.096]","(21.47, 22.348]","(10.657, 11.431]"
"(7.0, 9.8]","(2.0, 3.0]","(25.8, 29.45]","(113.676, 118.193]","(3.025, 10.6]","(130957.878, 145810.844]","(21.47, 22.348]","(13.749, 16.764]"
"(12.45, 17.1]","(3.0, 5.0]","(37.1, 48.5]","(647.374, 1727.656]","(20.715, 55.7]","(100759.612, 105583.164]","(21.47, 22.348]","(9.111, 9.804]"
"(17.1, 22.75]","(-0.001, 1.0]","(15.0, 20.15]","(138.859, 184.402]","(0.41, 3.025]","(112260.095, 123581.622]","(16.137, 16.423]","(27.32, 30.033]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 5.0]","(138.859, 184.402]","(55.7, 89.565]","(62267.491, 69293.196]","(22.348, 23.892]","(12.305, 13.749]"
"(2.0, 3.0]","(-0.001, 1.0]","(5.0, 6.0]","(118.193, 138.859]","(0.41, 3.025]","(241049.859, 354783.815]","(17.576, 17.919]","(27.32, 30.033]"
"(28.0, 38.0]","(3.0, 5.0]","(20.15, 25.8]","(464.562, 501.12]","(-0.001, 0.41]","(105583.164, 112260.095]","(19.488, 19.77]","(34.882, 39.232]"
"(17.1, 22.75]","(-0.001, 1.0]","(29.45, 37.1]","(44.675, 98.654]","(-0.001, 0.41]","(112260.095, 123581.622]","(19.77, 20.3]","(22.673, 27.32]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(261.801, 464.562]","(-0.001, 0.41]","(69293.196, 76184.635]","(16.423, 16.966]","(43.235, 44.572]"
"(28.0, 38.0]","(18.7, 76.0]","(110.1, 155.7]","(4743.648, 8843.862]","(10.6, 20.715]","(7035.782999999999, 36285.002]","(17.919, 18.42]","(9.111, 9.804]"
"(12.45, 17.1]","(1.0, 2.0]","(110.1, 155.7]","(210.568, 215.472]","(-0.001, 0.41]","(100759.612, 105583.164]","(17.465, 17.576]","(39.232, 41.425]"
"(4.85, 5.0]","(-0.001, 1.0]","(6.0, 8.0]","(210.568, 215.472]","(-0.001, 0.41]","(105583.164, 112260.095]","(15.494, 16.137]","(45.897, 47.286]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 8.0]","(118.193, 138.859]","(-0.001, 0.41]","(36285.002, 50636.652]","(13.854, 15.494]","(34.882, 39.232]"
"(22.75, 28.0]","(5.0, 6.0]","(48.5, 60.8]","(4.67, 44.675]","(-0.001, 0.41]","(212520.243, 241049.859]","(8.213000000000001, 13.854]","(12.305, 13.749]"
"(140.05, 1224.0]","(-0.001, 1.0]","(290.7, 1854.0]","(606.352, 647.374]","(-0.001, 0.41]","(100759.612, 105583.164]","(19.488, 19.77]","(41.425, 43.235]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 5.0]","(215.472, 216.225]","(-0.001, 0.41]","(87327.282, 94365.591]","(17.919, 18.42]","(43.235, 44.572]"
"(9.8, 12.45]","(1.0, 2.0]","(48.5, 60.8]","(220.961, 261.309]","(-0.001, 0.41]","(87327.282, 94365.591]","(13.854, 15.494]","(41.425, 43.235]"
"(3.0, 4.85]","(-0.001, 1.0]","(1.0, 2.0]","(606.352, 647.374]","(-0.001, 0.41]","(100759.612, 105583.164]","(23.892, 25.711]","(44.572, 45.897]"
"(140.05, 1224.0]","(-0.001, 1.0]","(290.7, 1854.0]","(606.352, 647.374]","(-0.001, 0.41]","(87327.282, 94365.591]","(23.892, 25.711]","(45.897, 47.286]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 5.0]","(501.12, 509.083]","(-0.001, 0.41]","(83357.881, 87327.282]","(20.3, 20.85]","(41.425, 43.235]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(501.12, 509.083]","(-0.001, 0.41]","(145810.844, 165004.096]","(17.465, 17.576]","(39.232, 41.425]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(210.568, 215.472]","(-0.001, 0.41]","(69293.196, 76184.635]","(16.966, 17.465]","(44.572, 45.897]"
"(12.45, 17.1]","(-0.001, 1.0]","(25.8, 29.45]","(118.193, 138.859]","(-0.001, 0.41]","(112260.095, 123581.622]","(15.494, 16.137]","(11.431, 12.305]"
"(140.05, 1224.0]","(18.7, 76.0]","(155.7, 290.7]","(4743.648, 8843.862]","(10.6, 20.715]","(105583.164, 112260.095]","(21.47, 22.348]","(13.749, 16.764]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(98.654, 113.676]","(-0.001, 0.41]","(36285.002, 50636.652]","(8.213000000000001, 13.854]","(30.033, 34.882]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(210.568, 215.472]","(-0.001, 0.41]","(36285.002, 50636.652]","(19.488, 19.77]","(43.235, 44.572]"
"(140.05, 1224.0]","(-0.001, 1.0]","(290.7, 1854.0]","(216.225, 220.961]","(-0.001, 0.41]","(185938.102, 212520.243]","(17.576, 17.919]","(43.235, 44.572]"
"(22.75, 28.0]","(6.0, 8.0]","(48.5, 60.8]","(4743.648, 8843.862]","(3.025, 10.6]","(69293.196, 76184.635]","(20.3, 20.85]","(11.431, 12.305]"
"(1.0, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(501.12, 509.083]","(-0.001, 0.41]","(165004.096, 185938.102]","(19.77, 20.3]","(41.425, 43.235]"
"(78.0, 140.05]","(1.0, 2.0]","(110.1, 155.7]","(606.352, 647.374]","(-0.001, 0.41]","(94365.591, 100759.612]","(23.892, 25.711]","(44.572, 45.897]"
"(17.1, 22.75]","(-0.001, 1.0]","(48.5, 60.8]","(210.568, 215.472]","(-0.001, 0.41]","(50636.652, 62267.491]","(17.919, 18.42]","(44.572, 45.897]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(210.568, 215.472]","(-0.001, 0.41]","(94365.591, 100759.612]","(16.137, 16.423]","(34.882, 39.232]"
"(78.0, 140.05]","(8.0, 18.7]","(37.1, 48.5]","(98.654, 113.676]","(3.025, 10.6]","(241049.859, 354783.815]","(15.494, 16.137]","(16.764, 22.673]"
"(1.0, 2.0]","(-0.001, 1.0]","(110.1, 155.7]","(210.568, 215.472]","(-0.001, 0.41]","(145810.844, 165004.096]","(17.919, 18.42]","(45.897, 47.286]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(509.083, 606.352]","(-0.001, 0.41]","(7035.782999999999, 36285.002]","(13.854, 15.494]","(41.425, 43.235]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 5.0]","(220.961, 261.309]","(-0.001, 0.41]","(62267.491, 69293.196]","(30.338, 36.463]","(12.305, 13.749]"
"(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(216.225, 220.961]","(20.715, 55.7]","(87327.282, 94365.591]","(8.213000000000001, 13.854]","(8.699, 9.111]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 2.0]","(210.568, 215.472]","(-0.001, 0.41]","(83357.881, 87327.282]","(20.85, 21.47]","(41.425, 43.235]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 2.0]","(210.568, 215.472]","(-0.001, 0.41]","(94365.591, 100759.612]","(13.854, 15.494]","(39.232, 41.425]"
"(2.0, 3.0]","(-0.001, 1.0]","(25.8, 29.45]","(210.568, 215.472]","(-0.001, 0.41]","(36285.002, 50636.652]","(15.494, 16.137]","(34.882, 39.232]"
