ACLED_fatalities_total,ACLED_fatalities_Violence_against_civilians,ACLED_events_total,CIESIN_GPWv411_GPW_Population_Density_population_density_max,spam2010v2r0_global_prod_P_RICE_I_min,ECMWF_ERA5_LAND_MONTHLY_soil_temperature_level_1_sum_sum,NASA_GPM_L3_IMERG_MONTHLY_V06_precipitationQualityIndex_max_max,NASA_FLDAS_NOAH01_C_GL_M_V001_Qle_tavg_max_std
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(261.801, 501.12]","(55.7, 257.0]","(50636.652, 69293.196]","(17.465, 17.919]","(8.699, 9.804]"
"(3.0, 5.0]","(1.0, 3.0]","(25.8, 37.1]","(606.352, 1727.656]","(-0.001, 0.41]","(123581.622, 145810.844]","(25.711, 36.463]","(8.699, 9.804]"
"(3.0, 5.0]","(-0.001, 1.0]","(6.0, 11.0]","(220.961, 261.801]","(-0.001, 0.41]","(105583.164, 123581.622]","(19.77, 20.85]","(8.699, 9.804]"
"(9.8, 17.1]","(-0.001, 1.0]","(15.0, 25.8]","(1727.656, 8843.862]","(-0.001, 0.41]","(185938.102, 241049.859]","(19.77, 20.85]","(12.305, 16.764]"
"(17.1, 28.0]","(1.0, 3.0]","(11.0, 15.0]","(220.961, 261.801]","(-0.001, 0.41]","(69293.196, 83357.881]","(18.969, 19.77]","(12.305, 16.764]"
"(3.0, 5.0]","(-0.001, 1.0]","(1.0, 3.0]","(606.352, 1727.656]","(-0.001, 0.41]","(83357.881, 94365.591]","(22.348, 25.711]","(44.572, 47.286]"
"(-0.001, 1.0]","(-0.001, 1.0]","(11.0, 15.0]","(118.193, 184.402]","(55.7, 257.0]","(50636.652, 69293.196]","(18.969, 19.77]","(9.804, 10.657]"
"(17.1, 28.0]","(5.0, 8.0]","(6.0, 11.0]","(98.654, 118.193]","(-0.001, 0.41]","(185938.102, 241049.859]","(17.919, 18.969]","(10.657, 12.305]"
"(9.8, 17.1]","(3.0, 5.0]","(60.8, 155.7]","(220.961, 261.801]","(-0.001, 0.41]","(105583.164, 123581.622]","(25.711, 36.463]","(12.305, 16.764]"
"(9.8, 17.1]","(3.0, 5.0]","(11.0, 15.0]","(1727.656, 8843.862]","(0.41, 10.6]","(7035.782999999999, 50636.652]","(17.465, 17.919]","(1.5970000000000002, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(118.193, 184.402]","(0.41, 10.6]","(69293.196, 83357.881]","(20.85, 22.348]","(10.657, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(220.961, 261.801]","(-0.001, 0.41]","(145810.844, 185938.102]","(22.348, 25.711]","(12.305, 16.764]"
"(9.8, 17.1]","(-0.001, 1.0]","(6.0, 11.0]","(98.654, 118.193]","(-0.001, 0.41]","(241049.859, 3539315.621]","(15.494, 16.423]","(10.657, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(15.0, 25.8]","(220.961, 261.801]","(-0.001, 0.41]","(94365.591, 105583.164]","(25.711, 36.463]","(12.305, 16.764]"
"(17.1, 28.0]","(-0.001, 1.0]","(37.1, 60.8]","(1727.656, 8843.862]","(-0.001, 0.41]","(145810.844, 185938.102]","(20.85, 22.348]","(8.699, 9.804]"
"(3.0, 5.0]","(1.0, 3.0]","(15.0, 25.8]","(220.961, 261.801]","(10.6, 55.7]","(94365.591, 105583.164]","(22.348, 25.711]","(1.5970000000000002, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 11.0]","(184.402, 215.472]","(-0.001, 0.41]","(94365.591, 105583.164]","(15.494, 16.423]","(1.5970000000000002, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(118.193, 184.402]","(55.7, 257.0]","(50636.652, 69293.196]","(20.85, 22.348]","(10.657, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(220.961, 261.801]","(-0.001, 0.41]","(105583.164, 123581.622]","(25.711, 36.463]","(12.305, 16.764]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 11.0]","(4.67, 98.654]","(-0.001, 0.41]","(145810.844, 185938.102]","(8.213000000000001, 15.494]","(9.804, 10.657]"
"(17.1, 28.0]","(8.0, 76.0]","(60.8, 155.7]","(606.352, 1727.656]","(0.41, 10.6]","(123581.622, 145810.844]","(25.711, 36.463]","(10.657, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(606.352, 1727.656]","(-0.001, 0.41]","(94365.591, 105583.164]","(18.969, 19.77]","(8.699, 9.804]"
"(3.0, 5.0]","(1.0, 3.0]","(6.0, 11.0]","(1727.656, 8843.862]","(0.41, 10.6]","(145810.844, 185938.102]","(20.85, 22.348]","(1.5970000000000002, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(501.12, 606.352]","(-0.001, 0.41]","(83357.881, 94365.591]","(8.213000000000001, 15.494]","(1.5970000000000002, 8.699]"
"(3.0, 5.0]","(-0.001, 1.0]","(25.8, 37.1]","(261.801, 501.12]","(10.6, 55.7]","(50636.652, 69293.196]","(19.77, 20.85]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(184.402, 215.472]","(-0.001, 0.41]","(50636.652, 69293.196]","(8.213000000000001, 15.494]","(1.5970000000000002, 8.699]"
"(5.0, 9.8]","(1.0, 3.0]","(25.8, 37.1]","(1727.656, 8843.862]","(55.7, 257.0]","(83357.881, 94365.591]","(17.919, 18.969]","(8.699, 9.804]"
"(28.0, 78.0]","(-0.001, 1.0]","(60.8, 155.7]","(606.352, 1727.656]","(55.7, 257.0]","(50636.652, 69293.196]","(18.969, 19.77]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(25.8, 37.1]","(220.961, 261.801]","(-0.001, 0.41]","(123581.622, 145810.844]","(25.711, 36.463]","(1.5970000000000002, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 11.0]","(1727.656, 8843.862]","(55.7, 257.0]","(7035.782999999999, 50636.652]","(19.77, 20.85]","(1.5970000000000002, 8.699]"
"(1.0, 3.0]","(-0.001, 1.0]","(11.0, 15.0]","(1727.656, 8843.862]","(55.7, 257.0]","(50636.652, 69293.196]","(18.969, 19.77]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(4.67, 98.654]","(-0.001, 0.41]","(241049.859, 3539315.621]","(8.213000000000001, 15.494]","(10.657, 12.305]"
"(28.0, 78.0]","(8.0, 76.0]","(155.7, 1854.0]","(1727.656, 8843.862]","(0.41, 10.6]","(7035.782999999999, 50636.652]","(17.919, 18.969]","(8.699, 9.804]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(1727.656, 8843.862]","(10.6, 55.7]","(69293.196, 83357.881]","(19.77, 20.85]","(1.5970000000000002, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(501.12, 606.352]","(55.7, 257.0]","(83357.881, 94365.591]","(17.919, 18.969]","(10.657, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(261.801, 501.12]","(10.6, 55.7]","(123581.622, 145810.844]","(19.77, 20.85]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(261.801, 501.12]","(55.7, 257.0]","(7035.782999999999, 50636.652]","(19.77, 20.85]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(1727.656, 8843.862]","(10.6, 55.7]","(7035.782999999999, 50636.652]","(17.919, 18.969]","(9.804, 10.657]"
"(28.0, 78.0]","(8.0, 76.0]","(155.7, 1854.0]","(1727.656, 8843.862]","(-0.001, 0.41]","(7035.782999999999, 50636.652]","(16.423, 17.465]","(1.5970000000000002, 8.699]"
"(28.0, 78.0]","(5.0, 8.0]","(37.1, 60.8]","(220.961, 261.801]","(-0.001, 0.41]","(123581.622, 145810.844]","(20.85, 22.348]","(16.764, 27.32]"
"(1.0, 3.0]","(-0.001, 1.0]","(3.0, 6.0]","(501.12, 606.352]","(10.6, 55.7]","(123581.622, 145810.844]","(17.919, 18.969]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(15.0, 25.8]","(606.352, 1727.656]","(55.7, 257.0]","(83357.881, 94365.591]","(17.465, 17.919]","(1.5970000000000002, 8.699]"
"(5.0, 9.8]","(8.0, 76.0]","(3.0, 6.0]","(215.472, 220.961]","(10.6, 55.7]","(145810.844, 185938.102]","(22.348, 25.711]","(12.305, 16.764]"
"(28.0, 78.0]","(8.0, 76.0]","(155.7, 1854.0]","(184.402, 215.472]","(-0.001, 0.41]","(241049.859, 3539315.621]","(16.423, 17.465]","(16.764, 27.32]"
"(78.0, 1224.0]","(8.0, 76.0]","(155.7, 1854.0]","(501.12, 606.352]","(-0.001, 0.41]","(241049.859, 3539315.621]","(15.494, 16.423]","(34.882, 41.425]"
"(1.0, 3.0]","(-0.001, 1.0]","(3.0, 6.0]","(261.801, 501.12]","(10.6, 55.7]","(50636.652, 69293.196]","(15.494, 16.423]","(27.32, 34.882]"
"(5.0, 9.8]","(-0.001, 1.0]","(6.0, 11.0]","(98.654, 118.193]","(-0.001, 0.41]","(50636.652, 69293.196]","(18.969, 19.77]","(12.305, 16.764]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(215.472, 220.961]","(0.41, 10.6]","(105583.164, 123581.622]","(20.85, 22.348]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(606.352, 1727.656]","(-0.001, 0.41]","(69293.196, 83357.881]","(22.348, 25.711]","(10.657, 12.305]"
"(1.0, 3.0]","(-0.001, 1.0]","(11.0, 15.0]","(220.961, 261.801]","(10.6, 55.7]","(123581.622, 145810.844]","(20.85, 22.348]","(8.699, 9.804]"
"(17.1, 28.0]","(-0.001, 1.0]","(15.0, 25.8]","(98.654, 118.193]","(0.41, 10.6]","(241049.859, 3539315.621]","(17.919, 18.969]","(10.657, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(4.67, 98.654]","(-0.001, 0.41]","(185938.102, 241049.859]","(8.213000000000001, 15.494]","(9.804, 10.657]"
"(9.8, 17.1]","(-0.001, 1.0]","(6.0, 11.0]","(4.67, 98.654]","(-0.001, 0.41]","(145810.844, 185938.102]","(16.423, 17.465]","(27.32, 34.882]"
"(3.0, 5.0]","(-0.001, 1.0]","(3.0, 6.0]","(4.67, 98.654]","(-0.001, 0.41]","(105583.164, 123581.622]","(16.423, 17.465]","(27.32, 34.882]"
"(1.0, 3.0]","(-0.001, 1.0]","(6.0, 11.0]","(606.352, 1727.656]","(55.7, 257.0]","(69293.196, 83357.881]","(17.919, 18.969]","(8.699, 9.804]"
"(78.0, 1224.0]","(5.0, 8.0]","(60.8, 155.7]","(501.12, 606.352]","(-0.001, 0.41]","(185938.102, 241049.859]","(15.494, 16.423]","(27.32, 34.882]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(261.801, 501.12]","(-0.001, 0.41]","(83357.881, 94365.591]","(16.423, 17.465]","(41.425, 44.572]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(184.402, 215.472]","(-0.001, 0.41]","(241049.859, 3539315.621]","(15.494, 16.423]","(10.657, 12.305]"
"(78.0, 1224.0]","(-0.001, 1.0]","(60.8, 155.7]","(261.801, 501.12]","(-0.001, 0.41]","(185938.102, 241049.859]","(18.969, 19.77]","(16.764, 27.32]"
"(5.0, 9.8]","(3.0, 5.0]","(15.0, 25.8]","(1727.656, 8843.862]","(55.7, 257.0]","(7035.782999999999, 50636.652]","(17.465, 17.919]","(10.657, 12.305]"
"(1.0, 3.0]","(-0.001, 1.0]","(3.0, 6.0]","(1727.656, 8843.862]","(55.7, 257.0]","(69293.196, 83357.881]","(17.919, 18.969]","(9.804, 10.657]"
"(28.0, 78.0]","(1.0, 3.0]","(60.8, 155.7]","(261.801, 501.12]","(-0.001, 0.41]","(145810.844, 185938.102]","(17.465, 17.919]","(16.764, 27.32]"
"(17.1, 28.0]","(1.0, 3.0]","(60.8, 155.7]","(261.801, 501.12]","(-0.001, 0.41]","(241049.859, 3539315.621]","(8.213000000000001, 15.494]","(12.305, 16.764]"
"(17.1, 28.0]","(1.0, 3.0]","(25.8, 37.1]","(4.67, 98.654]","(-0.001, 0.41]","(105583.164, 123581.622]","(22.348, 25.711]","(16.764, 27.32]"
"(1.0, 3.0]","(-0.001, 1.0]","(15.0, 25.8]","(215.472, 220.961]","(55.7, 257.0]","(94365.591, 105583.164]","(17.919, 18.969]","(8.699, 9.804]"
"(17.1, 28.0]","(1.0, 3.0]","(25.8, 37.1]","(220.961, 261.801]","(-0.001, 0.41]","(185938.102, 241049.859]","(18.969, 19.77]","(8.699, 9.804]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 11.0]","(215.472, 220.961]","(55.7, 257.0]","(7035.782999999999, 50636.652]","(17.465, 17.919]","(1.5970000000000002, 8.699]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(215.472, 220.961]","(-0.001, 0.41]","(241049.859, 3539315.621]","(17.465, 17.919]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(215.472, 220.961]","(55.7, 257.0]","(94365.591, 105583.164]","(17.465, 17.919]","(1.5970000000000002, 8.699]"
"(28.0, 78.0]","(-0.001, 1.0]","(37.1, 60.8]","(118.193, 184.402]","(-0.001, 0.41]","(185938.102, 241049.859]","(16.423, 17.465]","(27.32, 34.882]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(118.193, 184.402]","(10.6, 55.7]","(105583.164, 123581.622]","(22.348, 25.711]","(10.657, 12.305]"
"(1.0, 3.0]","(1.0, 3.0]","(11.0, 15.0]","(261.801, 501.12]","(-0.001, 0.41]","(145810.844, 185938.102]","(18.969, 19.77]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 11.0]","(261.801, 501.12]","(10.6, 55.7]","(94365.591, 105583.164]","(20.85, 22.348]","(9.804, 10.657]"
"(1.0, 3.0]","(-0.001, 1.0]","(25.8, 37.1]","(118.193, 184.402]","(-0.001, 0.41]","(123581.622, 145810.844]","(25.711, 36.463]","(10.657, 12.305]"
"(17.1, 28.0]","(1.0, 3.0]","(155.7, 1854.0]","(501.12, 606.352]","(0.41, 10.6]","(123581.622, 145810.844]","(20.85, 22.348]","(9.804, 10.657]"
"(28.0, 78.0]","(-0.001, 1.0]","(37.1, 60.8]","(4.67, 98.654]","(-0.001, 0.41]","(241049.859, 3539315.621]","(17.465, 17.919]","(16.764, 27.32]"
"(9.8, 17.1]","(3.0, 5.0]","(37.1, 60.8]","(1727.656, 8843.862]","(0.41, 10.6]","(69293.196, 83357.881]","(18.969, 19.77]","(9.804, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(220.961, 261.801]","(10.6, 55.7]","(7035.782999999999, 50636.652]","(25.711, 36.463]","(10.657, 12.305]"
"(78.0, 1224.0]","(8.0, 76.0]","(155.7, 1854.0]","(1727.656, 8843.862]","(-0.001, 0.41]","(83357.881, 94365.591]","(19.77, 20.85]","(10.657, 12.305]"
"(1.0, 3.0]","(-0.001, 1.0]","(3.0, 6.0]","(118.193, 184.402]","(-0.001, 0.41]","(241049.859, 3539315.621]","(17.465, 17.919]","(16.764, 27.32]"
"(5.0, 9.8]","(1.0, 3.0]","(15.0, 25.8]","(184.402, 215.472]","(-0.001, 0.41]","(123581.622, 145810.844]","(22.348, 25.711]","(9.804, 10.657]"
"(9.8, 17.1]","(-0.001, 1.0]","(6.0, 11.0]","(98.654, 118.193]","(-0.001, 0.41]","(185938.102, 241049.859]","(8.213000000000001, 15.494]","(10.657, 12.305]"
"(5.0, 9.8]","(-0.001, 1.0]","(11.0, 15.0]","(184.402, 215.472]","(10.6, 55.7]","(7035.782999999999, 50636.652]","(20.85, 22.348]","(16.764, 27.32]"
"(9.8, 17.1]","(-0.001, 1.0]","(15.0, 25.8]","(4.67, 98.654]","(10.6, 55.7]","(241049.859, 3539315.621]","(8.213000000000001, 15.494]","(10.657, 12.305]"
"(5.0, 9.8]","(-0.001, 1.0]","(37.1, 60.8]","(261.801, 501.12]","(0.41, 10.6]","(145810.844, 185938.102]","(20.85, 22.348]","(10.657, 12.305]"
"(5.0, 9.8]","(1.0, 3.0]","(25.8, 37.1]","(98.654, 118.193]","(0.41, 10.6]","(123581.622, 145810.844]","(20.85, 22.348]","(12.305, 16.764]"
"(9.8, 17.1]","(3.0, 5.0]","(37.1, 60.8]","(606.352, 1727.656]","(10.6, 55.7]","(94365.591, 105583.164]","(20.85, 22.348]","(8.699, 9.804]"
"(17.1, 28.0]","(-0.001, 1.0]","(15.0, 25.8]","(118.193, 184.402]","(0.41, 10.6]","(105583.164, 123581.622]","(15.494, 16.423]","(27.32, 34.882]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(118.193, 184.402]","(55.7, 257.0]","(50636.652, 69293.196]","(22.348, 25.711]","(12.305, 16.764]"
"(1.0, 3.0]","(-0.001, 1.0]","(3.0, 6.0]","(118.193, 184.402]","(0.41, 10.6]","(241049.859, 3539315.621]","(17.465, 17.919]","(27.32, 34.882]"
"(28.0, 78.0]","(3.0, 5.0]","(15.0, 25.8]","(261.801, 501.12]","(-0.001, 0.41]","(105583.164, 123581.622]","(18.969, 19.77]","(34.882, 41.425]"
"(17.1, 28.0]","(-0.001, 1.0]","(25.8, 37.1]","(4.67, 98.654]","(-0.001, 0.41]","(105583.164, 123581.622]","(19.77, 20.85]","(16.764, 27.32]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(261.801, 501.12]","(-0.001, 0.41]","(69293.196, 83357.881]","(16.423, 17.465]","(41.425, 44.572]"
"(28.0, 78.0]","(8.0, 76.0]","(60.8, 155.7]","(1727.656, 8843.862]","(10.6, 55.7]","(7035.782999999999, 50636.652]","(17.919, 18.969]","(8.699, 9.804]"
"(9.8, 17.1]","(1.0, 3.0]","(60.8, 155.7]","(184.402, 215.472]","(-0.001, 0.41]","(94365.591, 105583.164]","(17.465, 17.919]","(34.882, 41.425]"
"(3.0, 5.0]","(-0.001, 1.0]","(6.0, 11.0]","(184.402, 215.472]","(-0.001, 0.41]","(105583.164, 123581.622]","(15.494, 16.423]","(44.572, 47.286]"
"(-0.001, 1.0]","(-0.001, 1.0]","(6.0, 11.0]","(118.193, 184.402]","(-0.001, 0.41]","(7035.782999999999, 50636.652]","(8.213000000000001, 15.494]","(34.882, 41.425]"
"(17.1, 28.0]","(5.0, 8.0]","(37.1, 60.8]","(4.67, 98.654]","(-0.001, 0.41]","(185938.102, 241049.859]","(8.213000000000001, 15.494]","(12.305, 16.764]"
"(78.0, 1224.0]","(-0.001, 1.0]","(155.7, 1854.0]","(606.352, 1727.656]","(-0.001, 0.41]","(94365.591, 105583.164]","(18.969, 19.77]","(41.425, 44.572]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(215.472, 220.961]","(-0.001, 0.41]","(83357.881, 94365.591]","(17.919, 18.969]","(41.425, 44.572]"
"(9.8, 17.1]","(1.0, 3.0]","(37.1, 60.8]","(220.961, 261.801]","(-0.001, 0.41]","(83357.881, 94365.591]","(8.213000000000001, 15.494]","(41.425, 44.572]"
"(3.0, 5.0]","(-0.001, 1.0]","(1.0, 3.0]","(606.352, 1727.656]","(-0.001, 0.41]","(94365.591, 105583.164]","(22.348, 25.711]","(44.572, 47.286]"
"(78.0, 1224.0]","(-0.001, 1.0]","(155.7, 1854.0]","(606.352, 1727.656]","(-0.001, 0.41]","(83357.881, 94365.591]","(22.348, 25.711]","(44.572, 47.286]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(501.12, 606.352]","(-0.001, 0.41]","(83357.881, 94365.591]","(19.77, 20.85]","(41.425, 44.572]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(501.12, 606.352]","(-0.001, 0.41]","(145810.844, 185938.102]","(17.465, 17.919]","(34.882, 41.425]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(184.402, 215.472]","(-0.001, 0.41]","(69293.196, 83357.881]","(16.423, 17.465]","(44.572, 47.286]"
"(9.8, 17.1]","(-0.001, 1.0]","(25.8, 37.1]","(118.193, 184.402]","(-0.001, 0.41]","(105583.164, 123581.622]","(15.494, 16.423]","(10.657, 12.305]"
"(78.0, 1224.0]","(8.0, 76.0]","(155.7, 1854.0]","(1727.656, 8843.862]","(10.6, 55.7]","(105583.164, 123581.622]","(20.85, 22.348]","(12.305, 16.764]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(98.654, 118.193]","(-0.001, 0.41]","(7035.782999999999, 50636.652]","(8.213000000000001, 15.494]","(27.32, 34.882]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(184.402, 215.472]","(-0.001, 0.41]","(7035.782999999999, 50636.652]","(18.969, 19.77]","(41.425, 44.572]"
"(78.0, 1224.0]","(-0.001, 1.0]","(155.7, 1854.0]","(215.472, 220.961]","(-0.001, 0.41]","(185938.102, 241049.859]","(17.465, 17.919]","(41.425, 44.572]"
"(17.1, 28.0]","(5.0, 8.0]","(37.1, 60.8]","(1727.656, 8843.862]","(0.41, 10.6]","(69293.196, 83357.881]","(19.77, 20.85]","(10.657, 12.305]"
"(1.0, 3.0]","(-0.001, 1.0]","(-0.001, 1.0]","(501.12, 606.352]","(-0.001, 0.41]","(145810.844, 185938.102]","(19.77, 20.85]","(41.425, 44.572]"
"(78.0, 1224.0]","(1.0, 3.0]","(60.8, 155.7]","(606.352, 1727.656]","(-0.001, 0.41]","(94365.591, 105583.164]","(22.348, 25.711]","(44.572, 47.286]"
"(17.1, 28.0]","(-0.001, 1.0]","(37.1, 60.8]","(184.402, 215.472]","(-0.001, 0.41]","(50636.652, 69293.196]","(17.919, 18.969]","(44.572, 47.286]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(184.402, 215.472]","(-0.001, 0.41]","(94365.591, 105583.164]","(15.494, 16.423]","(34.882, 41.425]"
"(78.0, 1224.0]","(8.0, 76.0]","(37.1, 60.8]","(98.654, 118.193]","(0.41, 10.6]","(241049.859, 3539315.621]","(15.494, 16.423]","(16.764, 27.32]"
"(1.0, 3.0]","(-0.001, 1.0]","(60.8, 155.7]","(184.402, 215.472]","(-0.001, 0.41]","(145810.844, 185938.102]","(17.919, 18.969]","(44.572, 47.286]"
"(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(501.12, 606.352]","(-0.001, 0.41]","(7035.782999999999, 50636.652]","(8.213000000000001, 15.494]","(41.425, 44.572]"
"(-0.001, 1.0]","(-0.001, 1.0]","(3.0, 6.0]","(220.961, 261.801]","(-0.001, 0.41]","(50636.652, 69293.196]","(25.711, 36.463]","(12.305, 16.764]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(215.472, 220.961]","(10.6, 55.7]","(83357.881, 94365.591]","(8.213000000000001, 15.494]","(8.699, 9.804]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(184.402, 215.472]","(-0.001, 0.41]","(83357.881, 94365.591]","(20.85, 22.348]","(41.425, 44.572]"
