414,452,629,47,714,422,479
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(8.751, 10.631]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(3.27, 5.264]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(8.751, 10.631]","(3.27, 5.264]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(8.751, 10.631]","(3.27, 5.264]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(8.751, 10.631]","(3.27, 5.264]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(7.181, 8.78]","(4.947, 6.513]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(5.417999999999999, 7.181]","(6.513, 7.865]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(6.399, 7.997]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(8.751, 10.631]","(3.27, 5.264]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(6.282, 7.832]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(6.995, 8.751]","(5.264, 6.88]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(6.399, 7.997]","(6.995, 8.751]","(3.27, 5.264]","(5.417999999999999, 7.181]","(4.947, 6.513]","(7.832, 9.71]"
"(5.399, 9.212]","(7.997, 9.608]","(6.995, 8.751]","(3.27, 5.264]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
"(5.399, 9.212]","(7.997, 9.608]","(8.751, 10.631]","(5.264, 6.88]","(7.181, 8.78]","(6.513, 7.865]","(7.832, 9.71]"
"(1.6780000000000002, 5.399]","(7.997, 9.608]","(8.751, 10.631]","(3.27, 5.264]","(7.181, 8.78]","(6.513, 7.865]","(6.282, 7.832]"
